siteID,stationID,procID,startDate,endDate,project_filepath
UK-AMO,GP,Li7000,08/09/2022 13:13,14/12/2022 12:59,/gws/nopw/j04/eddystore/stations/UK-AMO/projects/UK-AMO_GP_Li7000_2022_09_08.eddypro
UK-AMO,GP,Li7000,14/12/2022 13:00,31/12/2022 23:59,/gws/nopw/j04/eddystore/stations/UK-AMO/projects/UK-AMO_GP_Li7000_2022_12_14.eddypro
UK-AMO,GP,Li7000,01/01/2023 00:00,11/01/2023 11:59,/gws/nopw/j04/eddystore/stations/UK-AMO/projects/UK-AMO_GP_Li7000_2023_01_01.eddypro
UK-AMO,GP,Li7000,11/01/2023 12:00,10/11/2023 14:30,/gws/nopw/j04/eddystore/stations/UK-AMO/projects/UK-AMO_GP_Li7000_2023_01_11.eddypro
UK-AMO,GP,Li7000,10/11/2023 14:31,31/12/2023 23:59,/gws/nopw/j04/eddystore/stations/UK-AMO/projects/UK-AMO_GP_Li7000_2023_11_10.eddypro
UK-AMO,GP,Li7000,01/01/2024 00:00,01/01/2025 00:00,/gws/nopw/j04/eddystore/stations/UK-AMO/projects/UK-AMO_GP_Li7000_2024_01_01.eddypro
UK-AMO,GP,Picarro,22/06/2021 14:11,31/12/2021 23:59,/gws/nopw/j04/eddystore/stations/UK-AMO/projects/UK-AMO_GP_Picarro_2021_06_22.eddypro
UK-AMO,GP,Picarro,01/01/2022 00:00,08/09/2022 13:12,/gws/nopw/j04/eddystore/stations/UK-AMO/projects/UK-AMO_GP_Picarro_2022_01_01.eddypro
UK-AMO,GP,Picarro,08/09/2022 13:13,14/12/2022 12:59,/gws/nopw/j04/eddystore/stations/UK-AMO/projects/UK-AMO_GP_Picarro_2022_09_08.eddypro
UK-AMO,GP,Picarro,11/01/2023 12:00,10/11/2023 14:30,/gws/nopw/j04/eddystore/stations/UK-AMO/projects/UK-AMO_GP_Picarro_2023_01_11.eddypro
